year,city,home_appreciation
2000,SKYKOMISH,7450
2001,SKYKOMISH,-10900
2002,SKYKOMISH,15050
2003,SKYKOMISH,20333.33
2004,SKYKOMISH,879.1699999999983
2005,SKYKOMISH,15287.5
2006,SKYKOMISH,50156.67000000001
2007,SKYKOMISH,-6656.670000000013
2008,SKYKOMISH,60000
2009,SKYKOMISH,-115250
2010,SKYKOMISH,240250
2011,SKYKOMISH,-231000
2012,SKYKOMISH,-21525
2013,SKYKOMISH,-17475
2014,SKYKOMISH,61800
2015,SKYKOMISH,-26537.5
2016,SKYKOMISH,94277.5
2017,SKYKOMISH,-31206.670000000013
2018,SKYKOMISH,100166.67000000001
2019,SKYKOMISH,-59300
2020,SKYKOMISH,80577.78000000003
2021,SKYKOMISH,11097.219999999972
2022,SKYKOMISH,101025
2023,SKYKOMISH,-21900
2000,SNOQUALMIE,18456.53999999998
2001,SNOQUALMIE,65502.25
2002,SNOQUALMIE,585.7999999999884
2003,SNOQUALMIE,-19697.95000000001
2004,SNOQUALMIE,49049.77000000002
2005,SNOQUALMIE,66892.77000000002
2006,SNOQUALMIE,67762.83000000002
2007,SNOQUALMIE,-7263.570000000065
2008,SNOQUALMIE,-38755.03999999998
2009,SNOQUALMIE,-26288.159999999974
2010,SNOQUALMIE,2721.0499999999884
2011,SNOQUALMIE,-48152.02000000002
2012,SNOQUALMIE,16928.47000000003
2013,SNOQUALMIE,23874.630000000005
2014,SNOQUALMIE,53451.16000000003
2015,SNOQUALMIE,36369.55999999994
2016,SNOQUALMIE,71010.30000000005
2017,SNOQUALMIE,76851.01000000001
2018,SNOQUALMIE,51839.96999999997
2019,SNOQUALMIE,-15681.339999999967
2020,SNOQUALMIE,84193.07999999996
2021,SNOQUALMIE,276977.61
2022,SNOQUALMIE,194452.68999999994
2023,SNOQUALMIE,-87589.75
2000,TUKWILA,18205.850000000006
2001,TUKWILA,23026.98999999999
2002,TUKWILA,18626.459999999992
2003,TUKWILA,8189.119999999995
2004,TUKWILA,21352.320000000007
2005,TUKWILA,34561.54000000001
2006,TUKWILA,37558.65000000002
2007,TUKWILA,39780.08999999997
2008,TUKWILA,-9067.919999999984
2009,TUKWILA,-87434.51000000001
2010,TUKWILA,-17394.660000000003
2011,TUKWILA,-22292.48000000001
2012,TUKWILA,-3911.069999999978
2013,TUKWILA,17640.869999999995
2014,TUKWILA,26163.51999999999
2015,TUKWILA,50825.79999999999
2016,TUKWILA,55771.54000000004
2017,TUKWILA,21024.820000000007
2018,TUKWILA,49128.50999999995
2019,TUKWILA,25268.47000000003
2020,TUKWILA,24770.679999999993
2021,TUKWILA,79965.47000000003
2022,TUKWILA,91005.90999999992
2023,TUKWILA,-24987.329999999958
2000,WOODINVILLE,31600.51000000001
2001,WOODINVILLE,5015.410000000033
2002,WOODINVILLE,-19333.030000000028
2003,WOODINVILLE,45026.53000000003
2004,WOODINVILLE,50760.37999999995
2005,WOODINVILLE,100654.39000000001
2006,WOODINVILLE,73220.51000000007
2007,WOODINVILLE,49008.46999999997
2008,WOODINVILLE,-76534.67000000004
2009,WOODINVILLE,-110125.76999999996
2010,WOODINVILLE,53097.869999999995
2011,WOODINVILLE,-42661.70000000001
2012,WOODINVILLE,-8073.47000000003
2013,WOODINVILLE,46793
2014,WOODINVILLE,10234.960000000021
2015,WOODINVILLE,42818.619999999995
2016,WOODINVILLE,156282.69999999995
2017,WOODINVILLE,43137.3600000001
2018,WOODINVILLE,191706.37
2019,WOODINVILLE,-78220.09000000008
2020,WOODINVILLE,31918.830000000075
2021,WOODINVILLE,316897.53
2022,WOODINVILLE,144448.57999999984
2023,WOODINVILLE,14851.26000000001
2000,YARROW POINT,115121.3600000001
2001,YARROW POINT,-75085
2002,YARROW POINT,-108715.37999999989
2003,YARROW POINT,20161.209999999963
2004,YARROW POINT,331539.45999999996
2005,YARROW POINT,228121.84999999986
2006,YARROW POINT,36602.53000000003
2007,YARROW POINT,-316353.79000000004
2008,YARROW POINT,1440387.9100000001
2009,YARROW POINT,-864750.5900000001
2010,YARROW POINT,-139986.06000000006
2011,YARROW POINT,-436757.1399999999
2012,YARROW POINT,883071.4300000002
2013,YARROW POINT,-439244.9600000002
2014,YARROW POINT,626673.53
2015,YARROW POINT,-160064.04000000004
2016,YARROW POINT,152834.8700000001
2017,YARROW POINT,432918.75
2018,YARROW POINT,1018279.1699999999
2019,YARROW POINT,1103165.7199999997
2020,YARROW POINT,-931708.69
2021,YARROW POINT,286554.2200000002
2022,YARROW POINT,2748338.1799999997
2023,YARROW POINT,-1151651.5099999998
2000,ALGONA,18041.589999999997
2001,ALGONA,6851.920000000013
2002,ALGONA,14452.679999999993
2003,ALGONA,23833.380000000005
2004,ALGONA,9948.839999999997
2005,ALGONA,27972.809999999998
2006,ALGONA,33000.31999999998
2007,ALGONA,7548.660000000033
2008,ALGONA,-7806.280000000028
2009,ALGONA,-53814.869999999995
2010,ALGONA,-9187.73999999999
2011,ALGONA,-7930.0899999999965
2012,ALGONA,-6231.1600000000035
2013,ALGONA,8406.5
2014,ALGONA,1783.390000000014
2015,ALGONA,31154.359999999986
2016,ALGONA,22425.440000000002
2017,ALGONA,24007.72999999998
2018,ALGONA,48260.20000000001
2019,ALGONA,25396.090000000026
2020,ALGONA,29371.320000000007
2021,ALGONA,64210.109999999986
2022,ALGONA,51727.72999999998
2023,ALGONA,-13320.27999999997
2000,AUBURN,7750.149999999994
2001,AUBURN,21320.100000000006
2002,AUBURN,7461.290000000008
2003,AUBURN,5783.119999999995
2004,AUBURN,17235.01999999999
2005,AUBURN,41911.20000000001
2006,AUBURN,49777.73999999999
2007,AUBURN,24161.28999999998
2008,AUBURN,-40456.109999999986
2009,AUBURN,-33623.57000000001
2010,AUBURN,-30181.50999999998
2011,AUBURN,-8174.989999999991
2012,AUBURN,2245.139999999985
2013,AUBURN,28582.630000000005
2014,AUBURN,21609.75
2015,AUBURN,34253.45000000001
2016,AUBURN,23062.849999999977
2017,AUBURN,38319.119999999995
2018,AUBURN,14971.130000000005
2019,AUBURN,23764.5
2020,AUBURN,44639.369999999995
2021,AUBURN,105409.27000000002
2022,AUBURN,66059.17000000004
2023,AUBURN,-22789.380000000005
2000,BEAUX ARTS,-25657.140000000014
2001,BEAUX ARTS,-4867.859999999986
2002,BEAUX ARTS,-69475
2003,BEAUX ARTS,247250
2004,BEAUX ARTS,-241250
2005,BEAUX ARTS,532833.33
2006,BEAUX ARTS,98024.45000000007
2007,BEAUX ARTS,177808.8899999999
2008,BEAUX ARTS,203833.33000000007
2009,BEAUX ARTS,-784750
2010,BEAUX ARTS,51750
2011,BEAUX ARTS,230000
2012,BEAUX ARTS,-110000
2013,BEAUX ARTS,388333.3300000001
2014,BEAUX ARTS,-204533.33000000007
2015,BEAUX ARTS,246200
2016,BEAUX ARTS,366000
2017,BEAUX ARTS,67250
2018,BEAUX ARTS,1293000
2019,BEAUX ARTS,-1072750
2020,BEAUX ARTS,682000
2021,BEAUX ARTS,-83625
2022,BEAUX ARTS,-639375
2023,BEAUX ARTS,1138233.33
2000,BELLEVUE,41629.47999999998
2001,BELLEVUE,-6931.349999999977
2002,BELLEVUE,26661.72999999998
2003,BELLEVUE,18460.01000000001
2004,BELLEVUE,42898.840000000026
2005,BELLEVUE,117696.05999999994
2006,BELLEVUE,89678.95000000007
2007,BELLEVUE,110588.85999999999
2008,BELLEVUE,-47323.26000000001
2009,BELLEVUE,-100261.57999999996
2010,BELLEVUE,46050.32999999996
2011,BELLEVUE,-74256.66000000003
2012,BELLEVUE,28587.98999999999
2013,BELLEVUE,86388.19000000006
2014,BELLEVUE,98605.03999999992
2015,BELLEVUE,76088.78000000003
2016,BELLEVUE,110743.53999999992
2017,BELLEVUE,179965.75
2018,BELLEVUE,151655.3600000001
2019,BELLEVUE,-46503.090000000084
2020,BELLEVUE,120302.42000000016
2021,BELLEVUE,412889.17999999993
2022,BELLEVUE,241170.7899999998
2023,BELLEVUE,-118343.37999999989
2000,BLACK DIAMOND,29793.46000000002
2001,BLACK DIAMOND,-11713.410000000003
2002,BLACK DIAMOND,16119.440000000002
2003,BLACK DIAMOND,24406.29999999999
2004,BLACK DIAMOND,8147.030000000028
2005,BLACK DIAMOND,37771.21999999997
2006,BLACK DIAMOND,65481.169999999984
2007,BLACK DIAMOND,-7041.009999999951
2008,BLACK DIAMOND,33598.939999999944
2009,BLACK DIAMOND,-44485.21999999997
2010,BLACK DIAMOND,-65105.04999999999
2011,BLACK DIAMOND,-16660.98000000004
2012,BLACK DIAMOND,19232.77000000002
2013,BLACK DIAMOND,16261.98999999999
2014,BLACK DIAMOND,49222.98000000004
2015,BLACK DIAMOND,63512.72999999998
2016,BLACK DIAMOND,-13506.900000000023
2017,BLACK DIAMOND,25176.119999999995
2018,BLACK DIAMOND,41962.580000000016
2019,BLACK DIAMOND,44107.67000000004
2020,BLACK DIAMOND,37955.890000000014
2021,BLACK DIAMOND,162792.69999999995
2022,BLACK DIAMOND,127211.43000000005
2023,BLACK DIAMOND,40218.28999999992
2000,BOTHELL,36873.26999999996
2001,BOTHELL,-5101.859999999986
2002,BOTHELL,14454.020000000019
2003,BOTHELL,16749.619999999995
2004,BOTHELL,33795.859999999986
2005,BOTHELL,56709.890000000014
2006,BOTHELL,79309.70999999996
2007,BOTHELL,20235.170000000042
2008,BOTHELL,-18205.45000000001
2009,BOTHELL,-10652.450000000012
2010,BOTHELL,-57465.70000000001
2011,BOTHELL,-852.109999999986
2012,BOTHELL,1198.469999999972
2013,BOTHELL,65727.26000000001
2014,BOTHELL,51529.51000000001
2015,BOTHELL,13925.94000000006
2016,BOTHELL,100849.10999999999
2017,BOTHELL,130298.5
2018,BOTHELL,49482.09999999998
2019,BOTHELL,23695.929999999935
2020,BOTHELL,-2581.659999999916
2021,BOTHELL,198192.48999999987
2022,BOTHELL,228712.2100000002
2023,BOTHELL,-89815.02000000002
2000,BURIEN,13973.169999999984
2001,BURIEN,9584.48000000001
2002,BURIEN,5094.420000000013
2003,BURIEN,16856.28
2004,BURIEN,30502.920000000013
2005,BURIEN,40968.109999999986
2006,BURIEN,28599
2007,BURIEN,58731.17999999999
2008,BURIEN,-46971.70000000001
2009,BURIEN,-23779.570000000007
2010,BURIEN,-44604.630000000005
2011,BURIEN,2287.8600000000442
2012,BURIEN,16274.309999999998
2013,BURIEN,17374.00999999995
2014,BURIEN,22202.559999999998
2015,BURIEN,17731.01000000001
2016,BURIEN,44111.05000000005
2017,BURIEN,65849.48999999999
2018,BURIEN,44684.659999999974
2019,BURIEN,22315.580000000016
2020,BURIEN,31782.550000000047
2021,BURIEN,117115.22999999998
2022,BURIEN,33112.619999999995
2023,BURIEN,11650.209999999963
2000,CARNATION,-16975.880000000005
2001,CARNATION,21857.630000000005
2002,CARNATION,-32.70000000001164
2003,CARNATION,-10442.73999999999
2004,CARNATION,60161.16
2005,CARNATION,120.85999999998603
2006,CARNATION,36994.75
2007,CARNATION,20891.72000000003
2008,CARNATION,-3182.2600000000093
2009,CARNATION,-4723.799999999988
2010,CARNATION,-37461.890000000014
2011,CARNATION,-79419.93
2012,CARNATION,68877.76000000001
2013,CARNATION,27260.78999999998
2014,CARNATION,14893.5
2015,CARNATION,77584.59999999998
2016,CARNATION,110489.90000000002
2017,CARNATION,65700.01000000001
2018,CARNATION,33698.48999999999
2019,CARNATION,-67747.31000000006
2020,CARNATION,127401
2021,CARNATION,112800.6000000001
2022,CARNATION,128334.02999999991
2023,CARNATION,19611.18000000005
2000,CLYDE HILL,2666.159999999916
2001,CLYDE HILL,120618.5
2002,CLYDE HILL,-85501.55999999994
2003,CLYDE HILL,142778.05999999994
2004,CLYDE HILL,143113.41999999993
2005,CLYDE HILL,274944.2100000002
2006,CLYDE HILL,150598.31999999983
2007,CLYDE HILL,250649.84000000008
2008,CLYDE HILL,389753.8799999999
2009,CLYDE HILL,-391074.3099999998
2010,CLYDE HILL,-533994.8700000001
2011,CLYDE HILL,214889.44999999995
2012,CLYDE HILL,131477.22999999998
2013,CLYDE HILL,355465.29000000004
2014,CLYDE HILL,-121106.45999999996
2015,CLYDE HILL,617524.7000000002
2016,CLYDE HILL,-120150.70999999996
2017,CLYDE HILL,881880.5499999998
2018,CLYDE HILL,85620.18000000017
2019,CLYDE HILL,-74967.37000000011
2020,CLYDE HILL,194230.21999999974
2021,CLYDE HILL,1121544.3700000006
2022,CLYDE HILL,524697.8499999996
2023,CLYDE HILL,-419951.48000000045
2000,COVINGTON,18784.26999999999
2001,COVINGTON,14286.910000000003
2002,COVINGTON,18333.540000000008
2003,COVINGTON,16608.26999999999
2004,COVINGTON,14485.410000000003
2005,COVINGTON,34092.34
2006,COVINGTON,26315.140000000014
2007,COVINGTON,28212.75
2008,COVINGTON,-12540.119999999995
2009,COVINGTON,-66254.91000000003
2010,COVINGTON,-4980.449999999953
2011,COVINGTON,-19191.50000000003
2012,COVINGTON,-1329.2999999999884
2013,COVINGTON,28353.50999999998
2014,COVINGTON,2458.530000000028
2015,COVINGTON,28096.219999999972
2016,COVINGTON,41954.26000000001
2017,COVINGTON,50023.169999999984
2018,COVINGTON,41836.91000000003
2019,COVINGTON,1314.2700000000186
2020,COVINGTON,48421.33999999997
2021,COVINGTON,95126.76000000001
2022,COVINGTON,102583.44999999995
2023,COVINGTON,-20618.609999999986
2000,DES MOINES,29550.95000000001
2001,DES MOINES,-8661.100000000006
2002,DES MOINES,19490.910000000003
2003,DES MOINES,6394.459999999992
2004,DES MOINES,18671.080000000016
2005,DES MOINES,48420.68000000002
2006,DES MOINES,41372
2007,DES MOINES,40037.04999999999
2008,DES MOINES,-67651.57
2009,DES MOINES,-10129.890000000014
2010,DES MOINES,3401.0900000000256
2011,DES MOINES,-46624.580000000016
2012,DES MOINES,-28599.290000000008
2013,DES MOINES,51705.19999999998
2014,DES MOINES,18441.650000000023
2015,DES MOINES,38466.15000000002
2016,DES MOINES,23985.399999999965
2017,DES MOINES,82730.23000000004
2018,DES MOINES,20849.98999999999
2019,DES MOINES,19048.190000000002
2020,DES MOINES,52637.67999999999
2021,DES MOINES,75600.42000000004
2022,DES MOINES,47359.7699999999
2023,DES MOINES,3066.890000000014
2000,DUVALL,10219.559999999998
2001,DUVALL,-16093.080000000016
2002,DUVALL,29286.75
2003,DUVALL,30808.26000000001
2004,DUVALL,-707.5200000000186
2005,DUVALL,42641.350000000035
2006,DUVALL,71065.51999999996
2007,DUVALL,42439.580000000016
2008,DUVALL,-36864.640000000014
2009,DUVALL,-64116.17999999999
2010,DUVALL,-7246.880000000005
2011,DUVALL,-39943.33999999997
2012,DUVALL,2294.4899999999907
2013,DUVALL,52660.72999999998
2014,DUVALL,27024.75
2015,DUVALL,45085.94
2016,DUVALL,44471.090000000026
2017,DUVALL,57065.15000000002
2018,DUVALL,101110.98999999999
2019,DUVALL,-15016.26000000001
2020,DUVALL,62174.169999999925
2021,DUVALL,133226.2200000001
2022,DUVALL,141248.8999999999
2023,DUVALL,-86578.96999999997
2000,ENUMCLAW,2522.4799999999814
2001,ENUMCLAW,14317.290000000008
2002,ENUMCLAW,4575.790000000008
2003,ENUMCLAW,12677.109999999986
2004,ENUMCLAW,15776.770000000019
2005,ENUMCLAW,46515.109999999986
2006,ENUMCLAW,20688.530000000028
2007,ENUMCLAW,24498.179999999993
2008,ENUMCLAW,3659.5999999999767
2009,ENUMCLAW,-44230.98999999999
2010,ENUMCLAW,-23050.5
2011,ENUMCLAW,-13897.700000000012
2012,ENUMCLAW,11395.929999999993
2013,ENUMCLAW,5928.1600000000035
2014,ENUMCLAW,13162.559999999998
2015,ENUMCLAW,20260.839999999997
2016,ENUMCLAW,18695.02000000002
2017,ENUMCLAW,39220.92999999999
2018,ENUMCLAW,35993.340000000026
2019,ENUMCLAW,41167.56
2020,ENUMCLAW,45040.32000000001
2021,ENUMCLAW,67933.81
2022,ENUMCLAW,71070.71999999997
2023,ENUMCLAW,12412.219999999972
2000,FEDERAL WAY,15724.51999999999
2001,FEDERAL WAY,9314.149999999994
2002,FEDERAL WAY,12441.929999999993
2003,FEDERAL WAY,10718.680000000022
2004,FEDERAL WAY,20371.199999999983
2005,FEDERAL WAY,43152.57000000001
2006,FEDERAL WAY,40590.06
2007,FEDERAL WAY,25626.75
2008,FEDERAL WAY,-27424.26000000001
2009,FEDERAL WAY,-48747.97999999998
2010,FEDERAL WAY,-6832.140000000014
2011,FEDERAL WAY,-23607.679999999993
2012,FEDERAL WAY,6459.130000000005
2013,FEDERAL WAY,12064.539999999979
2014,FEDERAL WAY,14763.850000000035
2015,FEDERAL WAY,19911.75
2016,FEDERAL WAY,27039.48999999999
2017,FEDERAL WAY,44514.51000000001
2018,FEDERAL WAY,29984.52999999997
2019,FEDERAL WAY,29229.72999999998
2020,FEDERAL WAY,46916.26000000001
2021,FEDERAL WAY,95580.17000000004
2022,FEDERAL WAY,53965.22999999998
2023,FEDERAL WAY,-7490.469999999972
2000,HUNTS POINT,-274248.6699999999
2001,HUNTS POINT,546535.71
2002,HUNTS POINT,-1325119.04
2003,HUNTS POINT,1246061.9
2004,HUNTS POINT,-1225228.57
2005,HUNTS POINT,1598013.0899999999
2006,HUNTS POINT,140639.83000000007
2007,HUNTS POINT,-1453719.5899999999
2008,HUNTS POINT,1465472.17
2010,HUNTS POINT,939594.5
2011,HUNTS POINT,1041178.5
2012,HUNTS POINT,326250.0700000003
2013,HUNTS POINT,462571.4299999997
2014,HUNTS POINT,-2720200
2015,HUNTS POINT,1241492.31
2016,HUNTS POINT,-436625.64000000013
2017,HUNTS POINT,728904.7600000002
2018,HUNTS POINT,2206857.14
2019,HUNTS POINT,-2958803.5700000003
2020,HUNTS POINT,1393687.5
2021,HUNTS POINT,6402258.93
2022,HUNTS POINT,-5107571.43
2023,HUNTS POINT,707666.6699999999
2000,ISSAQUAH,-5422.609999999986
2001,ISSAQUAH,21111.04999999999
2002,ISSAQUAH,37403.580000000016
2003,ISSAQUAH,3891.329999999958
2004,ISSAQUAH,37087.29000000004
2005,ISSAQUAH,25016.190000000002
2006,ISSAQUAH,122583.61999999994
2007,ISSAQUAH,98820.37
2008,ISSAQUAH,-67525.94999999995
2009,ISSAQUAH,-71506.02000000002
2010,ISSAQUAH,-6252.729999999981
2011,ISSAQUAH,-37861.130000000005
2012,ISSAQUAH,-7808.400000000023
2013,ISSAQUAH,53559.96999999997
