year,city,price_per_sqft
2014,LAKE FOREST PARK,242.8104306757744
2015,LAKE FOREST PARK,265.7011251946574
2016,LAKE FOREST PARK,290.3792983309909
2017,LAKE FOREST PARK,335.55077543791157
2018,LAKE FOREST PARK,371.95161323033653
2019,LAKE FOREST PARK,345.71537529273473
2020,LAKE FOREST PARK,395.9181537312659
2021,LAKE FOREST PARK,479.6376571155557
2022,LAKE FOREST PARK,519.4642337856732
2023,LAKE FOREST PARK,510.861878848589
2000,MAPLE VALLEY,118.45748596441416
2001,MAPLE VALLEY,126.14206739741874
2002,MAPLE VALLEY,125.99541879115687
2003,MAPLE VALLEY,129.8409764356261
2004,MAPLE VALLEY,138.7620929558009
2005,MAPLE VALLEY,160.53882514934037
2006,MAPLE VALLEY,178.08660889231268
2007,MAPLE VALLEY,188.77101042340868
2008,MAPLE VALLEY,175.3232582529438
2009,MAPLE VALLEY,154.1742742786419
2010,MAPLE VALLEY,146.97699231440362
2011,MAPLE VALLEY,133.73920311406383
2012,MAPLE VALLEY,133.70573165012195
2013,MAPLE VALLEY,148.56952469176693
2014,MAPLE VALLEY,163.5231534204461
2015,MAPLE VALLEY,177.4655157526091
2016,MAPLE VALLEY,196.8213249332566
2017,MAPLE VALLEY,216.84580122715428
2018,MAPLE VALLEY,234.76730313676643
2019,MAPLE VALLEY,241.14278752390823
2020,MAPLE VALLEY,264.8570538103833
2021,MAPLE VALLEY,332.25106943160085
2022,MAPLE VALLEY,390.18651358978616
2023,MAPLE VALLEY,387.55397862385485
2000,MEDINA,322.28175563572614
2001,MEDINA,326.636558822677
2002,MEDINA,290.71598567222793
2003,MEDINA,300.8116158486233
2004,MEDINA,374.62831666580786
2005,MEDINA,552.6156921378802
2006,MEDINA,529.7218188360947
2007,MEDINA,876.7329116005517
2008,MEDINA,753.5429159252875
2009,MEDINA,623.5185834849788
2010,MEDINA,490.76953131741124
2011,MEDINA,578.7586223846112
2012,MEDINA,570.5063693768464
2013,MEDINA,733.254297207785
2014,MEDINA,745.2558568710912
2015,MEDINA,897.2344830050766
2016,MEDINA,860.2294289372637
2017,MEDINA,1141.7323419188426
2018,MEDINA,1230.3686586545753
2019,MEDINA,1463.9964361161838
2020,MEDINA,1749.0046344365253
2021,MEDINA,1717.4773148895051
2022,MEDINA,2171.7018127501724
2023,MEDINA,1623.2895790605248
2000,MERCER ISLAND,241.3493431592074
2001,MERCER ISLAND,264.5980524947954
2002,MERCER ISLAND,265.4236641221585
2003,MERCER ISLAND,261.81575779646886
2004,MERCER ISLAND,310.53657106633807
2005,MERCER ISLAND,359.0084784351066
2006,MERCER ISLAND,420.8675046240512
2007,MERCER ISLAND,430.5755171826265
2008,MERCER ISLAND,472.0308595398032
2009,MERCER ISLAND,394.15466674362074
2010,MERCER ISLAND,435.58295776479963
2011,MERCER ISLAND,378.6961677085783
2012,MERCER ISLAND,393.40533200825234
2013,MERCER ISLAND,399.2981890684977
2014,MERCER ISLAND,465.243086524704
2015,MERCER ISLAND,507.90004126140127
2016,MERCER ISLAND,564.4016623098984
2017,MERCER ISLAND,641.0887631157176
2018,MERCER ISLAND,772.5596705189906
2019,MERCER ISLAND,739.7662779808447
2020,MERCER ISLAND,795.0591414978126
2021,MERCER ISLAND,960.5342102796993
2022,MERCER ISLAND,1113.7468338896713
2023,MERCER ISLAND,1062.2971935924825
2000,MILTON,106.54862875931029
2001,MILTON,112.59976371306622
2002,MILTON,116.27683907551432
2003,MILTON,125.53385117440499
2004,MILTON,132.3670615241501
2005,MILTON,155.47159746804593
2006,MILTON,179.5851198059602
2007,MILTON,180.44302472507889
2008,MILTON,170.33296967306234
2009,MILTON,151.63614752313893
2010,MILTON,131.18609924022908
2011,MILTON,128.1198732287903
2012,MILTON,118.34589801952262
2013,MILTON,142.38454191339918
2014,MILTON,142.7941266022106
2015,MILTON,164.50689711792617
2016,MILTON,180.19279377320947
2017,MILTON,190.50200972719105
2018,MILTON,219.6477068762061
2019,MILTON,229.50350953690432
2020,MILTON,236.18573210656837
2021,MILTON,307.9398320333231
2022,MILTON,364.1168215680833
2023,MILTON,325.8937876926172
2000,NEWCASTLE,151.85917972743047
2001,NEWCASTLE,160.11927291026416
2002,NEWCASTLE,167.1236839445675
2003,NEWCASTLE,169.99788546067515
2004,NEWCASTLE,194.84804822381633
2005,NEWCASTLE,219.09472729703168
2006,NEWCASTLE,259.2672078906231
2007,NEWCASTLE,273.1230733838792
2008,NEWCASTLE,242.4989688450415
2009,NEWCASTLE,216.17865686009816
2010,NEWCASTLE,205.96085465318075
2011,NEWCASTLE,192.9104353492173
2012,NEWCASTLE,202.68936895336918
2013,NEWCASTLE,223.50001829403308
2014,NEWCASTLE,248.22528344422457
2015,NEWCASTLE,266.555293072308
2016,NEWCASTLE,286.23198531873646
2017,NEWCASTLE,325.3162615579405
2018,NEWCASTLE,354.1046793203165
2019,NEWCASTLE,370.7301409187814
2020,NEWCASTLE,391.9122592928761
2021,NEWCASTLE,478.734039217813
2022,NEWCASTLE,612.1152371785838
2023,NEWCASTLE,544.7279931636259
2000,NORMANDY PARK,142.10274108923127
2001,NORMANDY PARK,146.3575595226702
2002,NORMANDY PARK,163.85754158386206
2003,NORMANDY PARK,164.72623868444055
2004,NORMANDY PARK,186.81076359619482
2005,NORMANDY PARK,216.76121331657933
2006,NORMANDY PARK,260.8559252403676
2007,NORMANDY PARK,273.4074218716628
2008,NORMANDY PARK,249.53517231322164
2009,NORMANDY PARK,208.61887652861702
2010,NORMANDY PARK,221.67206838575572
2011,NORMANDY PARK,200.1074094907475
2012,NORMANDY PARK,182.6664075464456
2013,NORMANDY PARK,201.07546247852602
2014,NORMANDY PARK,229.83688848143987
2015,NORMANDY PARK,224.98817572096831
2016,NORMANDY PARK,247.1888840932338
2017,NORMANDY PARK,280.73571793628344
2018,NORMANDY PARK,327.7929249980432
2019,NORMANDY PARK,337.2889630414838
2020,NORMANDY PARK,344.73051841031827
2021,NORMANDY PARK,416.16435104276496
2022,NORMANDY PARK,464.3615968721276
2023,NORMANDY PARK,436.824503371173
2000,NORTH BEND,144.13733234390637
2001,NORTH BEND,146.59567878188534
2002,NORTH BEND,155.16281103681834
2003,NORTH BEND,166.47119940363666
2004,NORTH BEND,176.88620798508387
2005,NORTH BEND,194.83411794304504
2006,NORTH BEND,234.5756603906303
2007,NORTH BEND,243.53422590422187
2008,NORTH BEND,232.66634027827078
2009,NORTH BEND,203.01935066134212
2010,NORTH BEND,184.92372061624334
2011,NORTH BEND,164.16693607758512
2012,NORTH BEND,170.03139752341207
2013,NORTH BEND,183.53740184239484
2014,NORTH BEND,194.71556782456923
2015,NORTH BEND,218.0299135425329
2016,NORTH BEND,247.88974886081647
2017,NORTH BEND,274.09618958988625
2018,NORTH BEND,303.78249494959823
2019,NORTH BEND,297.07254835791616
2020,NORTH BEND,318.0142260121472
2021,NORTH BEND,379.89656145434014
2022,NORTH BEND,465.1936865828443
2023,NORTH BEND,454.534489767562
2000,PACIFIC,107.10525610233125
2001,PACIFIC,113.61631531763139
2002,PACIFIC,122.64024749199257
2003,PACIFIC,125.12262204233036
2004,PACIFIC,138.07285100468383
2005,PACIFIC,156.78164328136972
2006,PACIFIC,178.00822880608985
2007,PACIFIC,191.26322274444095
2008,PACIFIC,180.20172717547578
2009,PACIFIC,153.66089292421938
2010,PACIFIC,141.599379388548
2011,PACIFIC,109.51474698772378
2012,PACIFIC,113.82977689628244
2013,PACIFIC,133.6887634600001
2014,PACIFIC,141.9854636803603
2015,PACIFIC,153.32652431648162
2016,PACIFIC,181.47084948674978
2017,PACIFIC,191.46213380301944
2018,PACIFIC,217.74579524002027
2019,PACIFIC,235.85030628442615
2020,PACIFIC,245.66030840571688
2021,PACIFIC,326.6140169408603
2022,PACIFIC,346.0697928257592
2023,PACIFIC,336.7727640907878
2000,REDMOND,150.63515902478954
2001,REDMOND,158.94878643488147
2002,REDMOND,165.24007362321657
2003,REDMOND,170.79341829543287
2004,REDMOND,190.20223812309845
2005,REDMOND,218.79413367060013
2006,REDMOND,258.6049631978571
2007,REDMOND,273.23473311000043
2008,REDMOND,263.18391174680306
2009,REDMOND,232.7053705381285
2010,REDMOND,236.49454002169355
2011,REDMOND,214.07486072217034
2012,REDMOND,222.98525049787239
2013,REDMOND,254.88903585599266
2014,REDMOND,269.78138332333583
2015,REDMOND,300.7464564005178
2016,REDMOND,343.3184614212288
2017,REDMOND,394.55308892476626
2018,REDMOND,436.57209809839395
2019,REDMOND,441.6691072187289
2020,REDMOND,482.47827166606874
2021,REDMOND,631.482885649345
2022,REDMOND,715.0809532466058
2023,REDMOND,689.8553308387782
2000,RENTON,126.22298267804267
2001,RENTON,130.23874451270026
2002,RENTON,135.32053053313544
2003,RENTON,144.13655885318795
2004,RENTON,156.386956226937
2005,RENTON,361.01443417912094
2006,RENTON,207.46426945142116
2007,RENTON,219.337030026936
2008,RENTON,204.2354698123807
2009,RENTON,175.99690206598078
2010,RENTON,171.94778936982922
2011,RENTON,152.63354416454342
2012,RENTON,159.39907798920848
2013,RENTON,176.74002522666154
2014,RENTON,193.7952777086937
2015,RENTON,202.3100910267966
2016,RENTON,235.90538634616038
2017,RENTON,259.68290860734635
2018,RENTON,297.71497296687926
2019,RENTON,291.25536317261515
2020,RENTON,314.5896931916465
2021,RENTON,394.9061905725461
2022,RENTON,448.0666064825011
2023,RENTON,435.45730756690307
2000,SAMMAMISH,152.21995241379886
2001,SAMMAMISH,156.30056101552734
2002,SAMMAMISH,160.52024827868718
2003,SAMMAMISH,165.39952187699143
2004,SAMMAMISH,180.33897602914683
2005,SAMMAMISH,207.31681517939793
2006,SAMMAMISH,245.40329542194237
2007,SAMMAMISH,257.08148345398627
2008,SAMMAMISH,243.66274622450925
2009,SAMMAMISH,214.7435564863145
2010,SAMMAMISH,208.27784186985886
2011,SAMMAMISH,205.80360183868413
2012,SAMMAMISH,209.1764917160133
2013,SAMMAMISH,236.78699504796083
2014,SAMMAMISH,255.5873778150828
2015,SAMMAMISH,273.3109042854742
2016,SAMMAMISH,304.4225495100949
2017,SAMMAMISH,348.4599422438043
2018,SAMMAMISH,375.82212235078316
2019,SAMMAMISH,374.21021365154627
2020,SAMMAMISH,406.3386452314318
2021,SAMMAMISH,539.7302920470513
2022,SAMMAMISH,645.1951935682949
2023,SAMMAMISH,584.9304102697378
2000,SeaTac,115.45690281308262
2001,SeaTac,121.15081939169825
2002,SeaTac,129.32687985389705
2003,SeaTac,140.14216598052028
2004,SeaTac,151.20127135094862
2005,SeaTac,171.6168412093771
2006,SeaTac,200.78197827596566
2007,SeaTac,213.55894040882464
2008,SeaTac,192.50611213460493
2009,SeaTac,167.09103671647958
2010,SeaTac,146.8722947522941
2011,SeaTac,129.35206080487657
2012,SeaTac,120.93641113895025
2013,SeaTac,137.39808074195912
2014,SeaTac,155.33392146390565
2015,SeaTac,173.17057052167203
2016,SeaTac,208.7359882258071
2017,SeaTac,231.91136725759932
2018,SeaTac,261.93714193167443
2019,SeaTac,264.4782001748962
2020,SeaTac,297.18045417559193
2021,SeaTac,354.3424172294065
2022,SeaTac,385.7141493081584
2023,SeaTac,398.27972314258966
2000,SEA-TAC,130.5319682254897
2001,SEA-TAC,161.71780911511345
2002,SEA-TAC,153.88672758685973
2003,SEA-TAC,169.73451435510438
2004,SEA-TAC,190.72535456269503
2005,SEA-TAC,206.35852732980157
2006,SEA-TAC,209.52791467409912
2007,SEA-TAC,289.008489974759
2008,SEA-TAC,257.8681973103143
2009,SEA-TAC,184.43302974325448
2010,SEA-TAC,166.586235733963
2011,SEA-TAC,159.67998097452318
2012,SEA-TAC,246.54260618860005
2013,SEA-TAC,205.49107235533225
2014,SEA-TAC,245.98423883387392
2015,SEA-TAC,284.475968357973
2016,SEA-TAC,234.14775519643513
2017,SEA-TAC,312.37283059268896
2018,SEA-TAC,366.2267616018395
2019,SEA-TAC,336.3329000540564
2020,SEA-TAC,343.23744563469165
2021,SEA-TAC,472.33885346046327
2022,SEA-TAC,485.4646660997906
2023,SEA-TAC,495.3686381407651
2000,SEATTLE,182.80651239121636
2001,SEATTLE,191.66219557076462
2002,SEATTLE,203.5848828491706
2003,SEATTLE,214.84784363761068
2004,SEATTLE,237.86944519213978
2005,SEATTLE,269.31922498367504
2006,SEATTLE,303.45200455910685
2007,SEATTLE,325.6232680132365
2008,SEATTLE,318.73898443973775
2009,SEATTLE,290.94907169327126
2010,SEATTLE,281.4306889591207
2011,SEATTLE,266.1859001485723
2012,SEATTLE,275.0957071220793
2013,SEATTLE,304.63458902278757
2014,SEATTLE,330.89235710403153
2015,SEATTLE,367.92459785784547
2016,SEATTLE,416.5072237810566
2017,SEATTLE,476.78900953257227
2018,SEATTLE,527.5405794498137
2019,SEATTLE,524.7736118295237
2020,SEATTLE,552.3533751895347
2021,SEATTLE,623.8986804929361
2022,SEATTLE,689.873182345462
2023,SEATTLE,652.5624520138069
2000,SHORELINE,148.33799086231886
2001,SHORELINE,152.5491218586943
2002,SHORELINE,160.06078544588647
2003,SHORELINE,167.32932904648428
2004,SHORELINE,188.45904480359292
2005,SHORELINE,209.89505437600874
2006,SHORELINE,244.158267203428
2007,SHORELINE,262.6775156134452
2008,SHORELINE,242.3378382668042
2009,SHORELINE,232.57999858931987
2010,SHORELINE,206.9911439215878
2011,SHORELINE,194.61275362309593
2012,SHORELINE,189.66609784678906
2013,SHORELINE,219.65812961293994
2014,SHORELINE,238.12560344986713
2015,SHORELINE,261.2989209559137
2016,SHORELINE,308.88082847222523
2017,SHORELINE,360.45195935792873
2018,SHORELINE,397.0448444869167
2019,SHORELINE,384.63496761023737
2020,SHORELINE,431.7893986460183
2021,SHORELINE,506.23644327288395
2022,SHORELINE,538.9859835341794
2023,SHORELINE,529.3719682545494
2000,SKYKOMISH,103.23944476576055
2001,SKYKOMISH,106.11572535991141
2002,SKYKOMISH,105.79507857733664
2003,SKYKOMISH,122.09039360127709
2004,SKYKOMISH,108.97546181205442
2005,SKYKOMISH,86.65183537263627
2006,SKYKOMISH,154.13052813545423
2007,SKYKOMISH,186.86868686868686
2008,SKYKOMISH,202.4793388429752
2009,SKYKOMISH,156.94256142800273
2010,SKYKOMISH,222.89156626506025
2011,SKYKOMISH,99.11877803888058
2012,SKYKOMISH,100.15600691443387
2013,SKYKOMISH,36.496350364963504
2014,SKYKOMISH,135.34539492175628
2015,SKYKOMISH,129.73695214467548
2016,SKYKOMISH,214.45994362463608
2017,SKYKOMISH,240.8072055860895
2018,SKYKOMISH,307.99457994579944
2019,SKYKOMISH,250.0997866068616
2020,SKYKOMISH,285.9363139738572
2021,SKYKOMISH,318.96424111288513
2022,SKYKOMISH,397.9836456097658
2023,SKYKOMISH,341.6666666666667
2000,SNOQUALMIE,146.54087545827605
2001,SNOQUALMIE,149.70278242779915
2002,SNOQUALMIE,149.58696014387527
2003,SNOQUALMIE,153.98741802277118
2004,SNOQUALMIE,162.13527387606456
2005,SNOQUALMIE,181.5865507960989
2006,SNOQUALMIE,207.96702123204332
2007,SNOQUALMIE,212.755655035792
2008,SNOQUALMIE,206.53953705971261
2009,SNOQUALMIE,185.00098011469714
2010,SNOQUALMIE,178.2785277728733
2011,SNOQUALMIE,166.17947913469467
2012,SNOQUALMIE,170.69382963419457
2013,SNOQUALMIE,188.25979296417373
2014,SNOQUALMIE,200.72279926485032
2015,SNOQUALMIE,217.45627481769375
2016,SNOQUALMIE,247.4932826861299
2017,SNOQUALMIE,272.00898658421954
2018,SNOQUALMIE,309.9832944167973
2019,SNOQUALMIE,301.71807025203094
2020,SNOQUALMIE,329.6327724136168
2021,SNOQUALMIE,442.9779982703949
2022,SNOQUALMIE,509.30901676412486
2023,SNOQUALMIE,460.95583118299834
2000,TUKWILA,119.33964136583857
2001,TUKWILA,130.47325241043825
2002,TUKWILA,131.06186755616346
2003,TUKWILA,137.4058898341997
2004,TUKWILA,157.33164902090675
2005,TUKWILA,178.62724123545607
2006,TUKWILA,200.43727679405606
2007,TUKWILA,216.20075111950197
2008,TUKWILA,216.47529208395474
2009,TUKWILA,179.54277010314965
2010,TUKWILA,167.1020238779986
2011,TUKWILA,137.6141719555829
2012,TUKWILA,143.55982846689534
2013,TUKWILA,141.1635105165222
2014,TUKWILA,160.40597070564823
2015,TUKWILA,186.07776183473266
2016,TUKWILA,215.0013227084341
2017,TUKWILA,240.80083278025813
2018,TUKWILA,273.05768627984185
2019,TUKWILA,280.15285626334617
2020,TUKWILA,297.4264160656197
2021,TUKWILA,359.7708382788393
2022,TUKWILA,431.0156358954656
2023,TUKWILA,423.11439592437296
2000,WOODINVILLE,143.02159327271423
2001,WOODINVILLE,147.0905196527067
2002,WOODINVILLE,156.01789775588833
2003,WOODINVILLE,166.07856045705927
2004,WOODINVILLE,170.8036842948522
2005,WOODINVILLE,201.3512281003835
2006,WOODINVILLE,225.90255289617463
2007,WOODINVILLE,254.38509593370904
2008,WOODINVILLE,223.7202953291156
2009,WOODINVILLE,209.1161485486462
2010,WOODINVILLE,188.4141785929855
2011,WOODINVILLE,183.93622268898665
2012,WOODINVILLE,184.9144562091571
2013,WOODINVILLE,200.4544556455345
2014,WOODINVILLE,227.2202683030384
2015,WOODINVILLE,240.01944825091445
2016,WOODINVILLE,274.25451222088645
2017,WOODINVILLE,300.8760553668119
2018,WOODINVILLE,335.4083129456597
2019,WOODINVILLE,331.14427969805394
2020,WOODINVILLE,429.3389211662112
2021,WOODINVILLE,540.6712675573076
2022,WOODINVILLE,573.5589432469742
2023,WOODINVILLE,545.222041190238
2000,YARROW POINT,333.9800897257049
2001,YARROW POINT,343.20702351465025
2002,YARROW POINT,352.6365272093893
2003,YARROW POINT,351.3919132370515
2004,YARROW POINT,458.49500481920353
2005,YARROW POINT,474.7487119646306
2006,YARROW POINT,514.804857900069
2007,YARROW POINT,361.7743963757549
2008,YARROW POINT,720.7635363701328
2009,YARROW POINT,793.1562870606245
2010,YARROW POINT,629.0252122988804
2011,YARROW POINT,421.72376136493585
2012,YARROW POINT,569.9454239256049
2013,YARROW POINT,486.06730515104744
2014,YARROW POINT,760.960056987731
2015,YARROW POINT,774.775975647718
2016,YARROW POINT,802.3086350098132
2017,YARROW POINT,910.5639110433239
2018,YARROW POINT,1710.916839572069
2019,YARROW POINT,1460.0287855474676
2020,YARROW POINT,1656.601996016193
2021,YARROW POINT,1889.4700076293454
2022,YARROW POINT,2236.0645568020414
2023,YARROW POINT,2282.859705073275
